Skills,Data Engineer,Data Scientist,Data Analyst,ML Engineer,Software Engineer,Cloud Engineer,Bussiness Analyst
Aurora,155500,0,0,99150,0,0,0
AWS,125000,130000,90000,145000,144500,90000,0
Snowflake,125000,125000,90000,166000,175000,0,0
Redshift,125000,185000,90000,175000,158500,0,0
Databricks,125000,103091,67000,153900,152500,0,0
GCP,113417,156107,120000,145000,125000,90000,95000
BigQuery,113417,157000,105000,108416,150000,0,95000
Azure,108416,90000,120000,145000,125000,107800,0
Oracle,104087,88128,0,0,106065,0,85000
IBM Cloud,97444,0,0,0,0,0,0
VMware,0,0,0,0,0,90000,0
