Skills,Data Engineer,Data Scientist,Data Analyst,ML Engineer,Software Engineer,Cloud Engineer,Bussiness Analyst
DynamoDB,125000,0,0,140500,143000,0,0
MongoDB,120000,180000,0,222000,143000,204000,0
Cassandra,120000,132500,0,0,0,0,125000
Couchbase,115000,0,0,0,0,0,0
PostgreSQL,110000,88128,90000,0,125000,0,85000
Elasticsearch,100000,101714,0,166600,107800,120000,0
DB2,100000,0,0,0,0,0,0
Redis,100000,0,0,0,167500,0,0
SQL Server,99150,88128,90000,99150,125000,0,85000
MySQL,99150,88128,0,0,0,0,85000
Neo4j,0,0,0,166000,0,0,0
