Skills,Data Engineer,Data Scientist,Data Analyst,ML Engineer,Software Engineer,Cloud Engineer,Bussiness Analyst
Express,171875,72000,99150,0,148500,107800,0
Node.js,125000,85000,0,75000,90000,90000,85000
Flask,125000,0,0,0,0,0,125000
Phoenix,125000,161250,0,0,0,0,0
Ruby,90000,85000,0,166000,167500,0,0
Angular,90000,119257,0,0,100000,0,125000
Vue.js,90000,156107,0,0,100000,0,0
Svelte,90000,0,0,0,0,0,0
FastAPI,0,125000,0,0,165000,0,0
ASP.NET,0,86205,0,0,0,0,0
React.js,0,85000,0,0,191000,0,0
Ruby on Rails,0,85000,0,0,0,0,0
Django,0,0,0,0,150000,0,125000
