Skills,Data Engineer,Data Scientist,Data Analyst,ML Engineer,Software Engineer,Cloud Engineer,Bussiness Analyst
Go,133000,150000,54000,153900,152500,120000,65000
MongoDB,120000,180000,0,0,0,204000,0
Java,113417,85000,67000,145000,147500,204000,90000
Scala,113417,122500,67000,179000,175000,0,
SQL,107500,125000,89375,145000,147500,107800,107800
Python,106300,130000,90000,157500,150000,90000,107800
NoSQL,100000,122500,0,0,0,0,0
Shell,97444,0,0,125000,0,90000,85000
R,90000,132500,65000,0,0,0,190000
JavaScript,90000,0,98500,0,148500,0,90000
C#,0,86205,0,180000,158500,0,0
C++,0,80811,0,115000,"1161,67",140000,0
SAS,0,0,98500,0,0,107800,125000
VBA,0,0,70500,0,0,0,130000
Visual Basic,0,0,54000,0,0,0,0
Bash,0,0,0,0,0,0,85000
TypeScript,0,0,0,145000,167500,0,0
Ruby,0,0,0,166000,0,0,0
Swift,0,0,0,0,0,180000,0
PowerShell,0,0,0,0,0,90000,0
