Skills,Data Engineer,Data Scientist,Data Analyst,ML Engineer,Software Engineer,Cloud Engineer,Bussiness Analyst
TensorFlow,140000,85000,0,166000,0,0,0
Airflow,124000,99150,0,125000,147500,0,138000
Spark,115000,125000,99150,166000,165000,120000,85000
PySpark,110000,130000,0,125000,0,120000,0
Hadoop,108416,125000,111175,0,125000,130000,85000
NumPy,106065,130000,70000,120000,130000,0,0
Kafka,100000,0,0,157500,144500,120000,85000
Pandas,90000,130000,70000,108416,0,0,0
React,90000,0,0,0,147500,0,0
Selenium,90000,0,0,0,0,0,90000
Scikit-learn,0,130000,0,140500,0,0,0
Matplotlib,0,125000,0,0,0,0,0
PyTorch,0,85000,0,166000,99150,0,0
GDPR,0,0,72000,0,149000,0,90000
Spring,0,0,0,0,90000,0,138000
GraphQL,0,0,0,0,149000,0,0
Keras,0,0,0,125000,0,0,0
