Skills,Data Engineer,Data Scientist,Data Analyst,ML Engineer,Software Engineer,Cloud Engineer,Bussiness Analyst
DAX,155905,0,0,0,0,0,0
Excel,147500,86205,65000,237500,156500,0,125000
SAS,147500,156107,98500,90000,0,107800,125000
Looker,113417,157500,125000,0,150000,0,0
Other,110000,0,0,0,0,0,0
Power BI,105000,90000,80500,90000,107500,0,89700
Tableau,100000,130500,90000,90000,125000,0,89700
Qlik,100000,0,0,0,0,0,0
SAP,90000,0,86355,0,0,0,136290
Alteryx,90000,0,0,0,0,0,0
SSIS,0,86205,0,0,156500,107800,0
SSRS,0,86205,0,0,0,0,0
SharePoint,0,86205,0,0,0,0,54000
Word,0,63000,54000,0,148500,0,0
Outlook,0,63000,0,0,148500,0,54000
Google Sheets,0,0,98500,0,0,0,65000
SPSS,0,0,57500,0,0,0,0
PowerPoint,0,0,54000,0,0,0,130000
MicroStra...,0,0,0,0,0,0,130000
Cognos,0,0,0,0,0,107800,0
