Skills,Data Engineer,Data Scientist,Data Analyst,Machine Learning Engineer,Software Engineer,Cloud Engineer,Bussiness Analyst
Snowflake,147500,147500,159000,0,79200,64800,64800
BigQuery,147500,75000,102500,166000,0,0,0
GCP,134241,132500,88000,64800,64800,0,0
Azure,131580,132500,93600,79200,79200,0,0
DataBricks,125500,159000,163782,101029,0,0,0
Oracle,120705,79200,79200,64800,79200,64800,0
AWS,120000,132500,79200,128682,75000,26700,140938
Redshift,113417,93600,72000,205000,79200,0,140938
VMware,79200,0,0,0,0,0,0
Aurora,45000,0,0,0,0,0,0
Firebase,0,0,0,101029,0,0,0
Watson,0,157500,0,0,0,0,0
