Skills,Data Engineer,Data Scientist,Data Analyst,Machine Learning Engineer,Software Engineer,Cloud Engineer,Bussiness Analyst
Redis,147500,0,0,166000,79200,0,0
DB2,147500,53014,0,0,0,0,0
Neo4j,147500,163782,132500,0,79200,0,0
Elasticsearch,134241,79200,0,0,0,0,0
SQL Server,120705,87725,587705,0,79200,64800,0
MySQL,119750,90000,90670,0,59000,64800,0
MongoDB,119750,163782,0,166000,75000,0,0
PostgreSQL,113417,45000,90670,0,75000,64800,0
Cassandra,96773,55014,0,78200,64800,0,0
DynamoDB,79200,79200,156000,0,0,0,0
Firebase,0,0,0,101029,0,0,0
AWS,0,0,0,0,49500,0,0
DyanamoDB,0,0,0,0,79200,0,0
