Skills,Data Engineer,Data Scientist,Data Analyst,Machine Learning Engineer,Software Engineer,Cloud Engineer,Bussiness Analyst
Spark,147500,147500,93600,166000,79200,0,0
Hadoop,147500,90000,87308,79200,79200,0,0
Kafka,147500,159000,93600,0,79200,0,0
Airflow,147500,45000,147500,185500,79200,0,0
Pandas,147500,111175,157500,79200,0,0,0
PySpark,147500,90000,0,166000,0,0,0
Scikit-learn,147500,0,162500,79200,0,0,0
Selenium,147500,0,0,0,0,0,0
Spring,131580,0,0,0,0,0,0
React,70200,0,0,0,0,0,0
GDPR,0,163782,0,0,0,0,0
TensorFlow,0,147500,157500,79200,71280,0,0
Electron,0,111175,0,0,0,0,0
Plotly,0,79200,0,0,0,0,0
PyTorch,0,0,157500,101029,64800,0,0
Jupyter,0,0,145000,0,0,0,0
Keras,0,0,87705,79200,54419,0,0
NumPy,0,0,0,79200,0,0,0
OpenCV,0,0,0,0,54419,0,0
Seaborn,0,0,0,0,0,267000,0
