Skills,Data Engineer,Data Scientist,Data Analyst,ML Engineer,Software Engineer,Cloud Engineer,Bussiness Analyst
IBM Cloud,145000,125000,111500,202000,0,0,0
Redshift,140000,142500,100000,93500,128500,98650,0
AWS,137409,105800,100000,116700,155000,157000,151000
Snowflake,135000,130400,100000,116700,155000,100000,151000
GCP,132500,135519,102500,95150,155000,170000,0
Azure,130000,127500,100000,115000,140000,160000,115000
Databricks,130000,126000,100000,115000,174500,101029,151000
Aurora,130000,0,82500,0,189000,0,0
BigQuery,127500,154000,88000,105000,100000,165000,0
Oracle,122340,107500,100000,90000,128500,99150,0
Watson,0,215000,0,0,0,0,0
VMware,0,0,0,110500,75000,0,0
