Skills,Data Engineer,Data Scientist,Data Analyst,ML Engineer,Software Engineer,Cloud Engineer,Bussiness Analyst
Cassandra,173500,125000,100000,166000,251000,0,105800
Redis,150000,0,90000,112500,287000,0,0
MySQL,141000,125000,100000,98650,175000,0,87000
DynamoDB,135000,0,0,112500,156000,151000,0
Elasticsearch,135000,120000,100000,112500,155000,151000,0
Neo4j,131000,125000,100000,350000,155000,136000,0
MongoDB,130000,125000,100000,160000,287000,136000,126000
PostgreSQL,122423,115000,100000,112500,142430,0,87000
SQL Server,120000,107500,95000,140000,155000,0,85240
DB2,117500,108416,109696,90150,0,0,114500
Amazon DynamoDB,0,215000,0,0,0,0,0
SQLite,0,124678,100000,0,0,0,0
Couchbase,0,0,0,0,150000,0,0
