Skills,Data Engineer,Data Scientist,Data Analyst,ML Engineer,Software Engineer,Cloud Engineer,Bussiness Analyst
Angular,190950,115000,138516,0,155000,0,0
Ruby on Rails,162500,0,0,100000,0,0,0
Ruby,155000,135000,93027,100000,200000,0,75000
Node.js,155000,135000,95000,350000,150000,0,0
Express,150000,157500,110000,223775,150000,57600,120000
jQuery,150000,90000,100000,0,155000,0,55500
Django,140500,105000,87500,0,104250,0,0
Flask,135000,120000,100000,0,0,0,0
Phoenix,110000,119609,100000,0,0,0,138640
FastAPI,0,120000,0,0,140500,0,0
ASP.NET,0,0,92500,0,87500,0,0
Drupal,0,0,89834,0,0,0,0
React.js,0,0,,0,152500,0,0
