Skills,Data Engineer,Data Scientist,Data Analyst,ML Engineer,Software Engineer,Cloud Engineer,Bussiness Analyst
Scala,150000,137000,0,141420,150000,0,0
Java,140000,125000,100000,166000,150000,117200,114500
NoSQL,140000,125000,100000,139095,150000,0,114500
Shell,140000,0,0,0,0,0,0
Python,132500,124400,100000,150000,155000,136000,100000
SQL,130000,120000,91800,125000,140000,151000,95000
C#,125490,0,0,0,0,0,0
Go,125000,0,90000,166000,208000,122050,95000
JavaScript,125000,0,87500,180000,125000,151000,82500
R,119257,125000,93000,120000,125000,65000,100000
C++,0,135000,0,150000,208000,221844,0
C,0,130500,100000,0,0,0,0
MATLAB,0,122500,0,150000,0,157650,0
SAS,0,115000,90000,0,0,0,95000
VBA,0,0,90000,0,0,0,91100
Swift,0,0,0,0,0,,116700
Rust,0,0,0,0,0,221844,0
Mongodb,0,0,0,0,0,136000,0
