Skills,Data Engineer,Data Scientist,Data Analyst,ML Engineer,Software Engineer,Cloud Engineer,Bussiness Analyst
Kafka,150000,0,100000,101029,155000,151000,0
Airflow,145000,0,100000,130000,209000,151000,150000
Spark,142500,139500,100000,166000,150000,117200,114000
Hadoop,140000,135000,100000,170000,150000,117200,126000
Jupyter,135000,0,0,0,112500,0,0
Spring,131000,0,0,0,150000,0,70000
Pandas,131000,105800,100000,152625,115000,0,130500
TensorFlow,131000,149288,100000,150000,175000,0,115000
PyTorch,131000,140000,100000,166000,0,0,115000
PySpark,130000,105800,0,0,0,115000,0
Keras,0,145500,0,135000,0,0,0
Matplotlib,0,130099,0,0,0,0,0
Scikit-learn,0,105800,100000,140000,142500,0,125000
NumPy,0,105800,100000,170000,0,0,139500
GDPR,0,0,0,0,0,0,87500
React,0,0,0,0,145000,0,0
