Skills,Data Engineer,Data Scientist,Data Analyst,ML Engineer,Software Engineer,Cloud Engineer,Bussiness Analyst
Looker,130000,145000,100000,141420,251000,0,110000
Tableau,125000,105800,91800,100000,105000,115000,97500
Word,125000,117500,82735,120000,72000,147500,87400
SAP,124900,129650,0,100000,107500,147500,95000
SAS,120000,115000,90000,100000,97500,0,100000
SSRS,120000,0,0,0,115000,0,87500
Alteryx,118650,0,0,0,0,0,0
Power BI,117500,115750,90000,100000,99150,90000,90000
SSIS,115000,0,0,0,115000,90000,0
Excel,112500,116250,82500,166000,110000,147500,85600
PowerPoint,0,124400,85000,0,0,0,0
Qlik,0,119550,0,120000,0,0,0
SPSS,0,115000,79416,100000,0,65000,0
SharePoint,0,0,90000,0,375000,147500,96500
Outlook,0,0,75000,0,0,147500,0
DataRobot,0,0,0,116600,0,0,0
