Skills,Data Engineer,Data Analyst,Data Scientist,ML Engineer,Software Engineer,Cloud Engineer,Bussiness Analyst
AWS,0.3830,0.0540,0.1590,0.3110,0.3490,0.3860,0.0360
Azure,0.3460,0.1010,0.1440,0.2020,0.1940,0.2900,0.0780
DataBricks,0.2040,0.0230,0.0520,0.1130,0.0440,0.0470,0.0170
Snowflake,0.1700,0.0440,0.0600,0.0390,0.0700,0.0490,0.0400
GCP,0.1590,0.0200,0.0710,0.1220,0.1200,0.1030,0.0200
Redshift,0.1010,0.0220,0.0350,0.0200,0.0430,0.0940,0.0170
Oracle,0.0890,0.0500,0.0460,0.0080,0.0540,0.0629,0.0590
BigQuery,0.0750,0.0230,0.0290,0.0250,0.0290,0.0270,0.0100
Aurora,0.0080,0.0020,0.0020,0.0010,0.0120,0.0080,0.0000
IBM Cloud,0.0010,0.0010,0.0020,0.0000,0.0010,0.0000,0.0010
DigitalOcean,0.0010,0.0000,0.0010,0.0000,0.0000,0.0000,0.0000
VMware,0.0010,0.0000,0.0010,0.0000,0.0070,0.0290,0.0020
OpenStack,0.0010,0.0000,0.0000,0.0000,0.0090,0.0230,0.0010
Watson,0.0010,0.0010,0.0010,0.0030,0.0000,0.0000,0.0010
Firebase,0.0000,0.0020,0.0020,0.0000,0.0000,0.0000,0.0020
Colocation,0.0000,0.0000,0.0000,0.0000,0.0010,0.0140,0.0010
Heroku,0.0000,0.0010,0.0000,0.0000,0.0000,0.0000,0.0000
OVH,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
