Skills,Data Engineer,Data Analyst,Data Scientist,ML Engineer,Software Engineer,Cloud Engineer,Bussiness Analyst
SQL Server,0.1220,0.0780,0.0470,0.0090,0.0430,0.0620,0.0430
PostgreSQL,0.0570,0.0080,0.0250,0.0080,0.0550,0.0330,0.0050
MySQL,0.0560,0.0130,0.0350,0.0170,0.0580,0.0570,0.0100
MongoDB,0.0370,0.0050,0.0140,0.0180,0.0460,0.0390,0.0020
Cassandra,0.0290,0.0040,0.0120,0.0180,0.0150,0.0290,0.0020
Elasticsearch,0.0220,0.0030,0.0120,0.0190,0.0390,0.0180,0.0000
DB2,0.0200,0.0070,0.0050,0.0000,0.0120,0.0040,0.0090
DynamoDB,0.0180,0.0020,0.0090,0.0100,0.0230,0.0080,0.0010
Redis,0.0100,0.0010,0.0020,0.0100,0.0350,0.0140,0.0010
Neo4j,0.0090,0.0010,0.0050,0.0050,0.0040,0.0000,0.0000
MariaDB,0.0040,0.0010,0.0020,0.0000,0.0010,0.0020,0.0000
Couchbase,0.0020,0.0000,0.0010,0.0000,0.0000,0.0000,0.0000
CouchDB,0.0010,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Firebase,0.0000,0.0020,0.0020,0.0000,0.0000,0.0000,0.0020
Firestore,0.0000,0.0010,0.0010,0.0000,0.0000,0.0020,0.0000
SQLite,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
