Skills,Data Engineer,Data Analyst,Data Scientist,ML Engineer,Software Engineer,Cloud Engineer,Bussiness Analyst
Express,0.0190,0.0140,0.0080,0.0080,0.0070,0.0160,0.0170
Angular,0.0180,0.0030,0.0050,0.0010,0.0460,0.0100,0.0020
Node.js,0.0170,0.0020,0.0120,0.0080,0.0410,0.0290,0.0010
Ruby,0.0110,0.0020,0.0050,0.0070,0.0350,0.0000,0.0020
Flask,0.0090,0.0030,0.0040,0.0060,0.0090,0.0040,0.0010
Django,0.0070,0.0000,0.0030,0.0070,0.0180,0.0000,0.0010
Vue.js,0.0050,0.0020,0.0060,0.0050,0.0230,0.0020,0.0050
ASP.NET,0.0040,0.0010,0.0030,0.0020,0.0080,0.0020,0.0010
FastAPI,0.0030,0.0010,0.0000,0.0050,0.0090,0.0000,0.0000
jQuery,0.0010,0.0000,0.0000,0.0000,0.0070,0.0040,0.0000
Laravel,0.0010,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Ruby on Rails,0.0010,0.0010,0.0020,0.0010,0.0060,0.0020,0.0010
React.js,0.0000,0.0000,0.0010,0.0000,0.0100,0.0020,0.0010
Phoenix,0.0000,0.0000,0.0010,0.0000,0.0020,0.0000,0.0010
Drupal,0.0000,0.0000,0.0000,0.0000,0.0010,0.0000,0.0000
Svelte,0.0000,0.0000,0.0000,0.0010,0.0000,0.0000,0.0000
ASP.NET Core,0.0000,0.0000,0.0020,0.0000,0.0000,0.0000,0.0000
PlayFramework,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Next.js,0.0000,0.0000,0.0000,0.0020,0.0010,0.0020,0.0000
Blazor,0.0000,0.0000,0.0000,0.0000,0.0010,0.0000,0.0000
Play Framework,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Symfony,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Ruby,0.0000,0.0000,0.0000,0.0000,0.0000,0.0120,0.0000
Angular.js,0.0000,0.0000,0.0000,0.0000,0.0000,0.0080,0.0000
