Skills,Data Engineer,Data Analyst,Data Scientist,ML Engineer,Software Engineer,Cloud Engineer,Bussiness Analyst
SQL,0.6620,0.5370,0.4940,0.3040,0.3150,0.2670,0.3870
Python,0.6120,0.3300,0.6370,0.7480,0.4270,0.3650,0.2030
Java,0.2090,0.0230,0.0940,0.2080,0.2770,0.1380,0.0220
Scala,0.1700,0.0110,0.0530,0.1230,0.0860,0.0660,0.0040
NoSQL,0.1400,0.0210,0.0510,0.0480,0.0900,0.0510,0.0070
Go,0.0720,0.0510,0.0450,0.0880,0.1750,0.0720,0.0540
R,0.0660,0.1740,0.2960,0.0920,0.0260,0.0410,0.0920
Shell,0.0480,0.0050,0.0100,0.0210,0.0360,0.0370,0.0080
JavaScript,0.0440,0.0210,0.0300,0.0380,0.1110,0.0370,0.0180
MongoDB,0.0430,0.0050,0.0140,0.0180,0.0460,0.0760,0.0000
C#,0.0400,0.0080,0.0170,0.0250,0.0720,0.0390,0.0120
C++,0.0280,0.0050,0.0290,0.0890,0.0770,0.0330,0.0040
T-SQL,0.0270,0.0070,0.0060,0.0050,0.0000,0.0000,0.0090
Bash,0.0250,0.0000,0.0080,0.0110,0.0240,0.0450,0.0000
SAS,0.0220,0.0520,0.0730,0.0090,0.0100,0.0000,0.0430
PowerShell,0.0160,0.0050,0.0050,0.0000,0.0180,0.0620,0.0040
HTML,0.0140,0.0070,0.0130,0.0070,0.0220,0.0080,0.0100
TypeScript,0.0110,0.0000,0.0000,0.0080,0.0580,0.0310,0.0000
C,0.0110,0.0150,0.0270,0.0270,0.0470,0.0310,0.0100
CSS,0.0100,0.0050,0.0090,0.0080,0.0220,0.0120,0.0040
Ruby,0.0090,0.0020,0.0050,0.0070,0.0350,0.0120,0.0000
Perl,0.0099,0.0000,0.0030,0.0000,0.0130,0.0080,0.0000
VBA,0.0000,0.0220,0.0100,0.0000,0.0000,0.0000,0.0290
Crystal,0.0000,0.0080,0.0040,0.0000,0.0000,0.0000,0.0090
MATLAB,0.0000,0.0050,0.0190,0.0090,0.0000,0.0000,0.0070
PHP,0.0000,0.0030,0.0000,0.0000,0.0000,0.0000,0.0030
Swift,0.0000,0.0030,0.0000,0.0030,0.0000,0.0100,0.0040
Assembly,0.0000,0.0030,0.0000,0.0000,0.0000,0.0000,0.0040
Visual Basic,0.0000,0.0000,0.0030,0.0000,0.0000,0.0000,0.0070
Rust,0.0000,0.0000,0.0000,0.0070,0.0240,0.0080,0.0040
Kotlin,0.0000,0.0000,0.0000,0.0090,0.0180,0.0000,0.0000
Objective-C,0.0000,0.0000,0.0000,0.0000,0.0000,0.0080,0.0000
