Skills,Data Engineer,Data Analyst,Data Scientist,ML Engineer,Software Engineer,Cloud Engineer,Bussiness Analyst
Spark,0.3490,0.0360,0.1360,0.2220,0.1550,0.0960,0.0170
Hadoop,0.1840,0.0220,0.0800,0.0950,0.0670,0.0350,0.0190
Airflow,0.1710,0.0230,0.0460,0.1100,0.0770,0.0760,0.0100
Kafka,0.1620,0.0080,0.0430,0.0550,0.1430,0.0450,0.0060
PySpark,0.1000,0.0060,0.0370,0.0670,0.0290,0.0410,0.0070
Pandas,0.0320,0.0170,0.0940,0.1230,0.0110,0.0190,0.0060
React,0.0200,0.0040,0.0120,0.0150,0.0930,0.0310,0.0100
NumPy,0.0140,0.0090,0.0770,0.1080,0.0080,0.0020,0.0030
GraphQL,0.0140,0.0020,0.0020,0.0020,0.0210,0.0020,0.0020
TensorFlow,0.0130,0.0050,0.1020,0.3970,0.0150,0.0120,0.0010
Jupyter,0.0130,0.0040,0.0280,0.0150,0.0070,0.0000,0.0070
PyTorch,0.0120,0.0050,0.0810,0.4240,0.0140,0.0020,0.0010
Selenium,0.0110,0.0000,0.0000,0.0020,0.0240,0.0180,0.0030
GDPR,0.0110,0.0090,0.0070,0.0140,0.0110,0.0060,0.0060
Spring,0.0090,0.0010,0.0060,0.0000,0.0380,0.0120,0.0030
Scikit-learn,0.0060,0.0080,0.0850,0.1510,0.0070,0.0020,0.0020
Matplotlib,0.0050,0.0050,0.0270,0.0100,0.0000,0.0000,0.0030
Keras,0.0050,0.0020,0.0340,0.0960,0.0040,0.0000,0.0000
Plotly,0.0030,0.0010,0.0140,0.0000,0.0070,0.0000,0.0020
Seaborn,0.0010,0.0020,0.0100,0.0120,0.0000,0.0000,0.0000
NLTK,0.0010,0.0000,0.0030,0.0080,0.0040,0.0000,0.0000
Hugging Face,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Flutter,0.0000,0.0000,0.0000,0.0000,0.0020,0.0000,0.0010
Xamarin,0.0000,0.0000,0.0000,0.0000,0.0010,0.0000,0.0000
MXNet,0.0000,0.0000,0.0060,0.0090,0.0020,0.0000,0.0000
RShiny,0.0000,0.0010,0.0000,0.0000,0.0000,0.0000,0.0010
Tidyverse,0.0000,0.0010,0.0040,0.0000,0.0010,0.0000,0.0000
OpenCV,0.0000,0.0000,0.0030,0.0179,0.0020,0.0000,0.0000
ggplot2,0.0000,0.0000,0.0020,0.0000,0.0000,0.0000,0.0000
dplyr,0.0000,0.0000,0.0020,0.0000,0.0000,0.0000,0.0000
Ionic,0.0000,0.0000,0.0000,0.0000,0.0020,0.0000,0.0000
HuggingFace,0.0000,0.0000,0.0000,0.0110,0.0000,0.0000,0.0000
Cordova,0.0000,0.0000,0.0000,0.0030,0.0000,0.0000,0.0000
Theano,0.0000,0.0000,0.0000,0.0020,0.0000,0.0000,0.0000
Capacitor,0.0000,0.0000,0.0000,0.0010,0.0000,0.0000,0.0000
