Skills,Data Engineer,Data Analyst,Data Scientist,ML Engineer,Software Engineer,Cloud Engineer,Bussiness Analyst
Tableau,0.1210,0.2400,0.1430,0.0480,0.0370,0.0450,0.1730
Power BI,0.1060,0.2020,0.1970,0.0340,0.0350,0.0330,0.1950
Excel,0.0520,0.3040,0.1080,0.0400,0.0540,0.0860,0.3560
Looker,0.0350,0.0590,0.0390,0.0100,0.0160,0.0180,0.0530
SAP,0.0280,0.0470,0.0240,0.0060,0.0160,0.0330,0.0700
SRSS,0.0240,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
SAS,0.0220,0.0520,0.1720,0.0090,0.0100,0.0060,0.0430
Qlik,0.0150,0.0110,0.0040,0.0030,0.0070,0.0000,0.0170
SharePoint,0.0110,0.0200,0.0050,0.0020,0.0080,0.0100,0.0230
DAX,0.0110,0.0180,0.0050,0.0000,0.0070,0.0000,0.0330
Alteryx,0.0080,0.0140,0.0080,0.0020,0.0010,0.0060,0.0150
Splunk,0.0080,0.0010,0.0040,0.0080,0.0230,0.0160,0.0039
Cognos,0.0070,0.0070,0.0030,0.0000,0.0010,0.0060,0.0190
PowerPoint,0.0070,0.0640,0.0330,0.0050,0.0050,0.0210,0.1030
Visio,0.0060,0.0100,0.0030,0.0010,0.0040,0.0270,0.0280
MicroStrategy,0.0060,0.0080,0.0060,0.0010,0.0020,0.0020,0.0140
Outlook,0.0040,0.0240,0.0140,0.0010,0.0040,0.0080,0.0360
SPSS,0.0029,0.0180,0.0000,0.0020,0.0010,0.0000,0.0000
Google Sheets,0.0029,0.0000,0.0000,0.0000,0.0000,0.0000,0.0250
MS Access,0.0100,0.0060,0.0040,0.0010,0.0020,0.0000,0.0050
Spreadsheets,0.0010,0.0000,0.0000,0.0000,0.0000,0.0000,0.0079
Word,0.0000,0.0730,0.0400,0.0270,0.0120,0.0430,0.0950
SSIS,0.0000,0.0210,0.0000,0.0030,0.0080,0.0100,0.0220
SSRS,0.0000,0.0170,0.0000,0.0020,0.0040,0.0020,0.0280
Spreadsheet,0.0000,0.0100,0.0020,0.0000,0.0010,0.0040,0.0000
Google Search,0.0000,2.9000,0.0040,0.0000,0.0020,0.0020,0.0000
DataRobot,0.0000,0.0000,0.0010,0.0020,0.0000,0.0000,0.0000
