Skills,Data Engineer,Data Scientist,Data Analyst,ML Engineer,Software Engineer,Cloud Engineer,Bussiness Analyst
AWS,0.3690,0.1850,0.0720,0.3370,0.2830,0.3390,0.0590
Azure,0.3570,0.1570,0.0870,0.2920,0.2200,0.2610,0.0740
DataBricks,0.1850,0.0550,0.0250,0.0730,0.0750,0.0870,0.0160
Snowflake,0.1710,0.0270,0.0480,0.0400,0.1070,0.1130,0.0340
GCP,0.1350,0.0690,0.0230,0.1520,0.0990,0.1870,0.0160
Redshift,0.1250,0.0230,0.0220,0.0160,0.0500,0.0940,0.0220
Oracle,0.0870,0.0280,0.0570,0.0190,0.1110,0.0520,0.0610
BigQuery,0.0600,0.0160,0.0200,0.0180,0.0230,0.0720,0.0120
IBM Cloud,0.0230,0.0040,0.0010,0.0010,0.0010,0.0000,0.0010
Aurora,0.0100,0.0010,0.1010,0.0019,0.0049,0.0079,0.0000
VMware,0.0010,0.0010,0.0020,0.1030,0.0150,0.0090,0.0020
Firebase,0.0010,0.0010,0.0010,0.0019,0.0039,0.0100,0.0000
Watson,0.0010,0.0020,0.0010,0.1020,0.0000,0.0000,0.0000
OpenStack,0.0000,0.0000,0.0000,0.0000,0.0030,0.0040,0.0000
Heroku,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010
DigitalOcean,0.0000,0.0030,0.0000,0.0010,0.0000,0.0000,0.0000
Colocation,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Linode,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
