Skills,Data Engineer,Data Scientist,Data Analyst,ML Engineer,Software Engineer,Cloud Engineer,Bussiness Analyst
SQL Server,0.0860,0.0240,0.0390,0.0150,0.0800,0.0400,0.0350
MongoDB,0.0670,0.0260,0.0080,0.0360,0.0460,0.0280,0.0040
MySQL,0.0620,0.0300,0.0210,0.0200,0.0490,0.0380,0.0130
Cassandra,0.0560,0.0200,0.0030,0.0240,0.0280,0.0110,0.0010
PostgreSQL,0.0450,0.0120,0.0120,0.0080,0.0400,0.0240,0.0070
DynamoDB,0.0220,0.0030,0.0010,0.0110,0.0180,0.0200,0.0020
Elasticsearch,0.0170,0.0040,0.0020,0.0160,0.0200,0.0030,0.0010
Redis,0.0130,0.0030,0.1000,0.0180,0.0230,0.0070,0.0000
DB2,0.0100,0.0010,0.0060,0.0010,0.0130,0.0040,0.0050
Neo4j,0.0100,0.0080,0.1000,0.0090,0.0040,0.0030,0.0030
Couchbase,0.0020,0.0010,0.0000,0.0020,0.0010,0.0000,0.0000
MariaDB,0.0010,0.0010,0.0000,0.0020,0.0010,0.0000,0.0000
CouchDB,0.0010,0.0000,0.0000,0.0000,0.1010,0.0000,0.0000
Firestore,0.0010,0.0000,0.0000,0.0000,0.0000,0.0060,0.0000
Firebase,0.0010,0.0010,0.0010,0.0010,0.0030,0.0100,0.0000
SQLite,0.0000,0.0000,0.0000,0.0000,0.0010,0.0000,0.0000
