Skills,Data Engineer,Data Scientist,Data Analyst,ML Engineer,Software Engineer,Cloud Engineer,Bussiness Analyst
Flask,0.0110,0.0210,0.0020,0.0250,0.0160,0.0010,0.0000
Django,0.0090,0.0110,0.0030,0.0180,0.0160,0.0000,0.0000
Node.js,0.0090,0.0060,0.0030,0.0110,0.0280,0.0270,0.0040
Express,0.0080,0.0080,0.0070,0.0040,0.0100,0.0100,0.0080
Angular,0.0060,0.0050,0.0020,0.0060,0.0360,0.0130,0.0020
Ruby,0.0050,0.0030,0.0010,0.0110,0.0210,0.0100,0.0010
FastAPI,0.0030,0.0050,0.0000,0.0130,0.0030,0.0030,0.0000
jQuery,0.0020,0.0020,0.0020,0.0030,0.0110,0.0060,0.0010
ASP.NET,0.0010,0.0000,0.0000,0.0010,0.0120,0.0030,0.0010
React.js,0.0010,0.0000,0.0000,0.0030,0.0100,0.0010,0.0010
Ruby on Rails,0.0010,0.0000,0.0000,0.0000,0.0040,0.0010,0.0000
Vue.js,0.0010,0.0019,0.0000,0.0020,0.0080,0.0100,0.0000
Play Framework,0.0010,0.0009,0.0000,0.0000,0.0000,0.0000,0.0000
Phoenix,0.0000,0.0009,0.0000,0.0000,0.0010,0.0010,0.0000
Drupal,0.0000,0.0000,0.0000,0.0010,0.0010,0.0000,0.0010
Angular.js,0.0000,0.0000,0.0000,0.0000,0.0030,0.0000,0.0000
Blazor,0.0009,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Symfony,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Laravel,0.0000,0.0000,0.0009,0.0000,0.0000,0.0010,0.0000
ASP.NET Core,0.0000,0.0000,0.0000,0.0000,0.0040,0.0000,0.0000
Next.js,0.0000,0.0000,0.0009,0.0000,0.0010,0.0000,0.0000
ASP.NET MVC,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Fastify,0.0000,0.0000,0.0000,0.0000,0.0010,0.0000,0.0000
Svelte,0.0000,0.0000,0.0000,0.0000,0.0010,0.0000,0.0000
Nuxt.js,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
