Skills,Data Engineer,Data Scientist,Data Analyst,ML Engineer,Software Engineer,Cloud Engineer,Bussiness Analyst
SQL,0.6590,0.4570,0.5240,0.3620,0.4930,0.3230,0.4160
Python,0.5930,0.6800,0.3720,0.7550,0.4230,0.4710,0.2090
Java,0.2000,0.1010,0.0320,0.1950,0.2600,0.1670,0.0280
Scala,0.1840,0.0760,0.0170,0.0630,0.1040,0.0700,0.0130
NoSQL,0.1640,0.0650,0.0240,0.0770,0.1080,0.0820,0.0130
MongoDB,0.0750,0.0300,0.0110,0.0410,0.0720,0.0340,0.0040
Shell,0.0700,0.0150,0.0110,0.0280,0.0570,0.0790,0.0080
R,0.0540,0.3370,0.1630,0.1600,0.0490,0.0350,0.0990
Go,0.0410,0.0430,0.0280,0.0650,0.0910,0.0480,0.0560
JavaScript,0.0250,0.0220,0.0350,0.0360,0.1020,0.0950,0.0130
T-SQL,0.0220,0.0030,0.1050,0.0000,0.0170,0.0000,0.0070
C#,0.0190,0.0090,0.0060,0.0120,0.0470,0.0180,0.0040
C++,0.0180,0.0450,0.0070,0.0790,0.0490,0.0180,0.1030
Bash,0.0160,0.0070,0.1020,0.0210,0.0210,0.0330,0.1020
PowerShell,0.0150,0.0000,0.0040,0.0000,0.0180,0.0400,0.0040
SAS,0.0129,0.0600,0.0680,0.0060,0.0130,0.0000,0.0470
C,0.0100,0.0200,0.0080,0.0300,0.0270,0.0130,0.0080
Perl,0.0080,0.0070,0.0000,0.0000,0.0140,0.0090,0.0030
HTML,0.0079,0.0079,0.0100,0.0120,0.0330,0.0400,0.0090
CSS,0.0050,0.1050,0.0050,0.0100,0.0360,0.0410,0.1060
Ruby,0.0050,0.1030,0.0000,0.0110,0.0210,0.0100,0.0000
PHP,0.1030,0.0000,0.0000,0.0000,0.0000,0.0000,0.1020
MATLAB,0.0000,0.0270,0.0080,0.0200,0.0000,0.0000,0.0050
VBA,0.0000,0.0080,0.0360,0.0110,0.0000,0.0000,0.0350
Julia,0.0000,0.0040,0.0000,0.0000,0.0000,0.0000,0.0000
Swift,0.0000,0.0000,0.1030,0.0000,0.0000,0.0040,0.0000
Visual Basic,0.0000,0.0000,0.0030,0.0000,0.0000,0.0000,0.0020
Assembly,0.0000,0.0000,0.0000,0.1050,0.0000,0.0040,0.0020
TypeScript,0.0000,0.0000,0.0000,0.0000,0.0290,0.0100,0.0000
Kotlin,0.0000,0.0000,0.0000,0.0460,0.0210,0.0000,0.0000
