Skills,Data Engineer,Data Scientist,Data Analyst,ML Engineer,Software Engineer,Cloud Engineer,Bussiness Analyst
Spark,0.3730,0.1680,0.0520,0.1830,0.2180,0.1400,0.0270
Hadoop,0.2100,0.1280,0.0380,0.1100,0.1200,0.0780,0.0240
Kafka,0.1850,0.0220,0.0100,0.0610,0.1380,0.1740,0.1070
PySpark,0.1650,0.0590,0.0180,0.0460,0.0470,0.0570,0.0150
Airflow,0.1600,0.0240,0.0140,0.0940,0.0460,0.0740,0.0090
Pandas,0.0380,0.1150,0.0300,0.1300,0.0240,0.0090,0.0080
NumPy,0.0220,0.1000,0.0230,0.1120,0.0160,0.0090,0.0030
Spring,0.0160,0.0030,0.0010,0.0030,0.0510,0.0090,0.0030
TensorFlow,0.0149,0.1830,0.0070,0.4000,0.0290,0.0230,0.0080
Selenium,0.0090,0.0030,0.0020,0.0000,0.0170,0.0149,0.0020
PyTorch,0.0090,0.1410,0.0060,0.3720,0.0170,0.0130,0.0050
Scikit-learn,0.0080,0.0860,0.0100,0.1970,0.0090,0.0090,0.0050
Jupyter,0.0080,0.0270,0.0080,0.0120,0.0060,0.7960,0.0000
React,0.0060,0.0050,0.0040,0.0060,0.0600,0.0270,0.0030
Keras,0.0050,0.0830,0.0030,0.1870,0.0040,0.0060,0.0070
Matplotlib,0.0040,0.0480,0.0150,0.0510,0.0040,0.0030,0.0020
Plotly,0.0040,0.0130,0.0070,0.0040,0.0020,0.0010,0.0000
GraphQL,0.0030,0.0000,0.0000,0.0000,0.0110,0.0010,0.0010
Seaborn,0.0010,0.0210,0.0100,0.0090,0.0000,0.0030,0.0010
Flutter,0.0010,0.0000,0.0020,0.3000,0.0040,0.0210,0.0010
OpenCV,0.0010,0.0180,0.0000,0.0380,0.0030,0.0000,0.0000
NLTK,0.0010,0.0260,0.0010,0.0290,0.0030,0.0030,0.0020
lonic,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
RShiny,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010
Theano,0.0000,0.0110,0.0000,0.0070,0.0000,0.0000,0.0030
MXNet,0.0000,0.0090,0.0000,0.0100,0.0000,0.0000,0.0000
Hugging Face,0.0000,0.0060,0.0000,0.0070,0.0000,0.0000,0.0010
Tidyverse,0.0000,0.0020,0.0000,0.0000,0.0000,0.0000,0.0000
ggplot2,0.0000,0.0000,0.0020,0.1000,0.0029,0.0000,0.0000
dplyr,0.0000,0.0000,0.0010,0.0000,0.0000,0.0000,0.0000
Electron,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Jupyter Notebook,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0050
GDPR compliance,0.0000,0.0000,0.0000,0.0000,0.5960,0.0000,0.0020
Ionic,0.0000,0.0000,0.0000,0.0000,0.4960,0.0000,0.0000
Xamarin,0.0000,0.0000,0.0000,0.0000,0.0020,0.0000,0.0000
