Skills,Data Engineer,Data Scientist,Data Analyst,ML Engineer,Software Engineer,Cloud Engineer,Bussiness Analyst
Tableau,0.1060,0.1710,0.2680,0.0510,11.9000,0.0650,0.2330
Power BI,0.0910,0.0870,0.2050,0.0380,0.0970,0.0600,0.1790
SSIS,0.0480,0.0050,0.0210,0.0050,0.0320,0.0000,0.0180
Excel,0.0420,0.0990,0.3340,0.0700,11.1000,0.0710,0.3880
SAP,0.0300,0.0140,0.0330,0.0070,0.0340,0.0200,0.0490
Looker,0.0230,0.0120,0.0330,0.0150,0.0200,0.0340,0.0240
SSRS,0.0160,0.0030,0.0120,0.0010,0.0160,0.0010,0.0140
Alteryx,0.0150,0.0200,0.0390,0.0220,0.0080,0.0040,0.0620
Qlik,0.0130,0.0120,0.0240,0.0020,0.0140,0.0110,0.0190
SAS,0.0120,0.0600,0.0680,0.0060,0.0130,0.0040,0.0470
DAX,0.0100,0.0040,0.0210,0.0060,0.0350,0.0040,0.0320
Splunk,0.0090,0.0020,0.1050,0.0040,0.0270,0.0850,0.0070
MicroStrategy,0.0080,0.0020,0.0100,0.0000,0.0090,0.0000,0.0070
Word,0.0070,0.0170,0.0380,0.0260,0.0280,0.0140,0.0710
Cognos,0.0060,0.0040,0.0060,0.0000,0.0040,0.0010,0.0069
SharePoint,0.0050,0.0040,0.0120,0.0030,0.0110,0.0070,0.0180
PowerPoint,0.0040,0.0280,0.0530,0.0110,0.0000,0.0160,0.0000
Visio,0.0020,0.0020,0.0080,0.0020,0.0060,0.0090,0.0290
Outlook,0.0020,0.0060,0.0080,0.0070,0.0270,0.0140,0.0310
SPSS,0.1010,0.0110,0.0310,0.0010,0.0020,0.0000,0.0150
Google Search,0.0010,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Spreadsheets,0.0010,0.0020,0.0060,0.0000,0.0010,0.0000,0.0080
MS Access,0.0010,0.0020,0.0080,0.0010,0.0030,0.0010,0.0080
DataRobot,0.0010,0.0030,0.0010,0.0260,0.0030,0.0010,0.0010
Google Sheets,0.0000,0.0030,0.0250,0.0000,0.0040,0.0000,0.0220
Nuix,0.0000,0.0000,0.0010,0.0000,0.0000,0.0010,0.0000
Power Point,0.0000,0.0000,0.0000,0.0000,0.0210,0.0000,0.1090
Google Sheet,0.0000,0.0000,0.0000,0.0010,0.0000,0.0000,0.0000
MicroStra...,0.0000,0.0000,0.0000,0.0000,0.0000,0.0040,0.0000
Spreadsh...,0.0000,0.0000,0.0000,0.0000,0.0000,0.0040,0.0000
Google S...,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010,0.0000
