Skills,Data Engineer,Data Scientist,Data Analyst,ML Engineer,Software Engineer,Cloud Engineer,Bussiness Analyst
AWS,0.4560,0.1890,0.0550,0.3170,0.2630,0.4620,0.0370
Azure,0.3490,0.1340,0.0480,0.1780,0.1530,0.1860,0.0680
Snowflake,0.2600,0.0390,0.0450,0.0740,0.1150,0.1780,0.0480
Redshift,0.1810,0.0140,0.0130,0.0390,0.0390,0.1790,0.0170
Databricks,0.1730,0.0560,0.0170,0.0870,0.0690,0.2120,0.0140
Oracle,0.1180,0.0410,0.0740,0.0460,0.1030,0.0830,0.0580
GCP,0.1080,0.0490,0.0110,0.1310,0.0760,0.1390,0.0110
BigQuery,0.0490,0.0190,0.0120,0.0380,0.0190,0.0330,0.0130
Aurora,0.0250,0.0030,0.0010,0.0050,0.0090,0.0070,0.0010
VMware,0.0020,0.0010,0.0010,0.0000,0.0040,0.0100,0.0010
Firebase,0.0029,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
OpenStack,0.0010,0.0010,0.0000,0.0000,0.0060,0.0040,0.0000
IBM Cloud,0.0019,0.0030,0.0010,0.0220,0.0000,0.0010,0.0000
Watson,0.0010,0.0020,0.0010,0.0010,0.0010,0.0000,0.0010
Heroku,0.0010,0.0000,0.0000,0.0020,0.0000,0.0010,0.0000
Colocation,0.0000,0.0000,0.0000,0.0000,0.0000,0.0030,0.0000
DigitalOcean,0.0000,0.0010,0.0000,0.0000,0.0000,0.0000,0.0000
OVH,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
