Skills,Data Engineer,Data Scientist,Data Analyst,ML Engineer,Software Engineer,Cloud Engineer,Bussiness Analyst
SQL Server,0.1230,0.0230,0.0570,0.0110,0.0420,0.0330,0.0640
MySQL,0.0970,0.0220,0.0150,0.0500,0.0410,0.0240,0.0090
Cassandra,0.0770,0.0080,0.0020,0.0160,0.0320,0.0500,0.0010
PostgreSQL,0.0550,0.0120,0.0080,0.0080,0.0320,0.0330,0.0020
MongoDB,0.0510,0.0130,0.0030,0.0170,0.0290,0.0680,0.0030
DynamoDB,0.0320,0.0030,0.0010,0.0100,0.0180,0.1040,0.0000
Elasticsearch,0.0250,0.0120,0.0020,0.0130,0.0190,0.1130,0.0010
DB2,0.0150,0.0030,0.0090,0.0020,0.0050,0.0019,0.0070
Redis,0.0100,0.0020,0.0000,0.0060,0.0150,0.0140,0.0000
Neo4j,0.0070,0.0120,0.0010,0.0040,0.0290,0.0270,0.0000
MariaDB,0.0030,0.0010,0.0000,0.0000,0.0010,0.0000,0.0000
Firebase,0.0020,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Couchbase,0.0020,0.0000,0.0000,0.0030,0.0050,0.0040,0.0000
SQLite,0.0010,0.0010,0.0010,0.0010,0.0000,0.0000,0.0008
CouchDB,0.0010,0.0000,0.0000,0.0000,0.0000,0.0020,0.0000
Firestore,0.0010,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
