Skills,Data Engineer,Data Scientist,Data Analyst,ML Engineer,Software Engineer,Cloud Engineer,Bussiness Analyst
SQL,0.7030,0.5300,0.4990,0.3520,0.4190,0.4040,0.5110
Python,0.6660,0.7500,0.2850,0.7540,0.5360,0.4690,0.2140
Java,0.2710,0.1280,0.0300,0.2070,0.2690,0.0780,0.0200
Scala,0.2240,0.0949,0.0080,0.2020,0.0970,0.0860,0.0050
NoSQL,0.1960,0.0500,0.0140,0.0690,0.1120,0.0460,0.0090
Shell,0.1110,0.0130,0.0060,0.0220,0.0260,0.0550,0.0020
MongoDB,0.0990,0.1300,0.0030,0.0260,0.0410,0.1190,0.0030
R,0.0900,0.4710,0.1850,0.1660,0.0490,0.0740,0.1240
Go,0.0730,0.0480,0.0470,0.1440,0.1030,0.0920,0.0630
C#,0.0430,0.0160,0.0090,0.0220,0.0500,0.0110,0.0050
JavaScript,0.0430,0.0420,0.0276,0.0480,0.1260,0.1010,0.0100
C++,0.0330,0.0730,0.0130,0.0690,0.1650,0.0179,0.0060
SAS,0.0250,0.1130,0.1020,0.0320,0.0430,0.0100,0.0670
T-SQL,0.0240,0.0000,0.0080,0.0030,0.0000,0.0189,0.0090
C,0.0210,0.0439,0.0200,0.0310,0.0290,0.0080,0.0160
PowerShell,0.0210,0.0000,0.0050,0.0000,0.0170,0.0110,0.0030
Bash,0.0200,0.0100,0.0040,0.0180,0.0150,0.0270,0.0000
HTML,0.0109,0.0090,0.0080,0.0280,0.0300,0.0100,0.0060
Ruby,0.0100,0.0060,0.0000,0.0000,0.0160,0.0090,0.0000
Perl,0.0099,0.3960,0.0050,0.0000,0.0140,0.0090,0.0020
MATLAB,0.0080,0.0540,0.0160,0.0220,0.0180,0.0100,0.0050
CSS,0.0070,0.0060,0.0050,0.0150,0.0250,0.0050,0.0040
VBA,0.0000,0.0139,0.0280,0.0000,0.0000,0.0000,0.0200
Julia,0.0000,0.0100,0.0000,0.0030,0.0000,0.0000,0.0000
PHP,0.0000,0.0040,0.0030,0.0090,0.0000,0.0000,0.0020
Visual Basic,0.0000,0.0040,0.0080,0.0000,0.0000,0.0000,0.0050
Crystal,0.0000,0.0030,0.0110,0.0000,0.0000,0.0000,0.0090
Swift,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0040
Assembly,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0020
TypeScript,0.0000,0.0000,0.0000,0.0200,0.0410,0.0000,0.0000
Rust,0.0000,0.0000,0.0000,0.0060,0.0080,0.0070,0.0000
