Skills,Data Engineer,Data Scientist,Data Analyst,ML Engineer,Software Engineer,Cloud Engineer,Bussiness Analyst
Spark,0.3590,0.1770,0.0220,0.3340,0.2160,0.2210,0.0170
Hadoop,0.2090,0.1070,0.0240,0.1230,0.1040,0.1080,0.0190
Kafka,0.2050,0.0230,0.0050,0.0580,0.1160,0.2130,0.0020
Airflow,0.1460,0.0180,0.0060,0.0700,0.0760,0.1230,0.0070
PySpark,0.0970,0.0530,0.0050,0.0800,0.0180,0.0670,0.0040
Pandas,0.0330,0.0910,0.0140,0.1040,0.1090,0.0120,0.0030
React,0.0169,0.0060,0.0040,0.0190,0.0550,0.0060,0.0020
Spring,0.0159,0.0180,0.0090,0.0290,0.0640,0.0100,0.0020
NumPy,0.0149,0.0650,0.0080,0.0760,0.0980,0.0070,0.0020
TensorFlow,0.0130,0.1330,0.0040,0.3440,0.0270,0.0200,0.0030
Jupyter,0.0120,0.0310,0.0060,0.0510,0.0100,0.0090,0.0010
GraphQL,0.0090,0.0000,0.0000,0.0000,0.0060,0.0000,0.0000
PyTorch,0.0090,0.1070,0.0020,0.2900,0.0210,0.0190,0.0020
Scikit-learn,0.0070,0.0790,0.0030,0.1480,0.0160,0.0130,0.0010
GDPR,0.0070,0.0000,0.0030,0.0030,0.0010,0.0030,0.0010
Matplotlib,0.0050,0.0410,0.0060,0.0150,0.0310,0.0010,0.0010
Keras,0.0030,0.0550,0.0010,0.0990,0.0050,0.0010,0.0010
Selenium,0.0020,0.0000,0.0010,0.0000,0.0030,0.0020,0.0010
Seaborn,0.0020,0.0170,0.0020,0.0080,0.0300,0.0010,0.0010
Plotly,0.0020,0.0190,0.0040,0.0120,0.0000,0.0000,0.0000
Rshiny,0.0010,0.0070,0.0010,0.0000,0.0000,0.0000,0.0000
NLTK,0.0010,0.0140,0.0010,0.0130,0.0020,0.0010,0.0000
Theano,0.0010,0.0040,0.0000,0.0050,0.0010,0.0000,0.0000
ggplot2,0.0010,0.0120,0.0010,0.0000,0.0000,0.0000,0.0000
OpenCV,0.0000,0.0080,0.0000,0.0100,0.0030,0.0000,0.0000
Tidyverse,0.0000,0.0100,0.0000,0.0000,0.0000,0.0000,0.0000
MXNet,0.0000,0.0080,0.0000,0.0130,0.0010,0.0010,0.0000
Hugging Face,0.0000,0.0040,0.0000,0.0130,0.0000,0.0000,0.0000
Cordova,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Electron,0.0000,0.0000,0.0000,0.0030,0.0000,0.0000,0.0010
dplyr,0.0000,0.0000,0.0000,0.0000,0.0010,0.0010,0.0000
Qt,0.0000,0.0000,0.0000,0.0000,0.0010,0.0000,0.0000
Dlib,0.0000,0.0000,0.0000,0.0030,0.0000,0.0000,0.0000
