Skills,Data Engineer,Data Scientist,Data Analyst,ML Engineer,Software Engineer,Cloud Engineer,Bussiness Analyst
Tableau,0.1470,0.2640,0.2820,0.0690,0.1360,0.0690,0.3460
Power BI,0.0950,0.1100,0.1770,0.0220,0.0510,0.0470,0.2620
Excel,0.0610,0.1090,0.3940,0.0500,0.0840,0.1020,0.4230
Looker,0.0280,0.0150,0.0240,0.0170,0.0190,0.0190,0.0300
SAS,0.0250,0.1130,0.1020,0.0320,0.0430,0.0100,0.0670
SAP,0.0220,0.0110,0.0470,0.0100,0.0170,0.0160,0.0610
Qlik,0.0220,0.0340,0.0200,0.0170,0.0050,0.0040,0.0240
Word,0.0210,0.0420,0.1080,0.0370,0.0310,0.0570,0.1140
Alteryx,0.0170,0.0110,0.0290,0.0050,0.0050,0.0060,0.0290
Splunk,0.0130,0.0100,0.0060,0.0050,0.0190,0.0210,0.0020
Cognos,0.0110,0.0049,0.0150,0.0010,0.0060,0.0020,0.0130
PowerPoint,0.0100,0.0390,0.1050,0.0220,0.0190,0.0400,0.1300
MicroStrategy,0.0100,0.4960,0.0120,0.0000,0.0070,0.0070,0.0000
Outlook,0.0080,0.0180,0.0350,0.0010,0.0200,0.0220,0.0400
SharePoint,0.0080,0.0140,0.0300,0.0020,0.0140,0.0430,0.0310
DAX,0.0080,0.0049,0.0099,0.0010,0.0040,0.0010,0.0260
Visio,0.0059,0.0060,0.0200,0.0190,0.0050,0.0190,0.0370
SPSS,0.0029,0.0250,0.0340,0.0020,0.0030,0.0030,0.0150
Google Sheets,0.0010,0.0020,0.0170,0.0000,0.0040,0.0060,0.0000
Spreadsheets,0.0010,0.0000,0.0000,0.0000,0.0040,0.0020,0.0000
MS Access,0.0000,0.0020,0.0130,0.0000,0.0020,0.0010,0.0090
DataRobot,0.0000,0.0050,0.0009,0.0020,0.0010,0.0000,0.0000
Nuix,0.0000,0.0000,0.0000,0.0005,0.0000,0.0000,0.0000
SSIS,0.0000,0.4560,0.0150,0.0070,0.0170,0.0060,0.0260
SSRS,0.0000,0.0039,0.0170,0.0020,0.0000,0.0010,0.0330
MicroStra...,0.0000,0.0000,0.0000,0.0020,0.0000,0.0000,0.0190
Google S...,0.0000,0.0000,0.0000,0.0010,0.0000,0.0000,0.0160
Spreadsh...,0.0000,0.0000,0.0000,0.0020,0.0000,0.0000,0.0150
Adobe Analytics,0.0000,0.0000,0.0000,0.0000,0.0070,0.0000,0.0000
